PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
84788,20141128,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,62,1,296.51999,338.64001,338.64001,689940,0.108623,338.64001,338.79001,463006,1,1,338.64001,,20141128,0.108623,0.021159,0.018994,-0.002458,-0.004156,0.024534
84788,20141231,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20150115,,,,,1,6,61,1,295.06000,326.31000,310.35001,869005,-0.083540,310.35001,310.35999,464384,1,1,310.35001,,20141231,-0.083540,-0.003622,-0.005756,-0.000181,-0.003554,-0.004189
84788,20150130,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20150219,,,,,1,6,62,1,286.95001,354.53000,354.53000,1031093,0.142355,354.53000,354.56000,464384,1,1,354.53000,,20150130,0.142355,-0.027201,-0.028273,-0.019077,-0.020098,-0.031041
84788,20150227,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20150330,,,,,1,6,59,1,363.54999,385.37000,380.16000,708518,0.072293,380.26001,380.26999,465393,1,1,380.16000,,20150227,0.072293,0.056021,0.053683,0.054161,0.052534,0.054893
84788,20150331,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20150414,,,,,1,6,59,1,366.37000,387.82999,372.10001,555089,-0.021202,372.10001,372.12000,466000,1,1,372.10001,,20150331,-0.021202,-0.010453,-0.012270,-0.005110,-0.007202,-0.017396
84788,20150430,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20150629,,,,,1,6,60,1,370.25500,445.10001,421.78000,844127,0.133512,421.67999,421.79001,465681,1,1,421.78000,,20150430,0.133512,0.008716,0.007567,0.015129,0.013992,0.008521
84788,20150529,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,60,1,419.10001,433.69000,429.23001,519909,0.017663,429.23001,429.29001,465681,1,1,429.23001,,20150529,0.017663,0.010345,0.008186,0.003983,0.002334,0.010491
84788,20150630,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20150714,,,,,1,6,61,1,423.50000,445.98999,434.09000,550218,0.011323,434.04001,434.39001,468000,1,1,434.09000,,20150630,0.011323,-0.019262,-0.021204,-0.013480,-0.015977,-0.021012
84788,20150731,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20150929,,,,,1,6,60,1,429.70001,536.76001,536.15002,1021489,0.235113,536.13000,537.07001,467710,1,1,536.15002,,20150731,0.235113,0.012113,0.010900,-0.027158,-0.028400,0.019742
84788,20150831,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,61,1,463.37000,537.01001,512.89001,829193,-0.043383,512.69000,512.90002,467710,1,1,512.89001,,20150831,-0.043383,-0.060046,-0.062111,-0.047287,-0.049301,-0.062581
84788,20150930,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20151013,,,,,1,6,61,1,496.07001,548.39001,511.89001,767961,-0.001950,511.50000,511.75000,469000,1,1,511.89001,,20150930,-0.001950,-0.033769,-0.035704,-0.049928,-0.052224,-0.026443
84788,20151030,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20151230,,,,,1,6,60,1,520.71997,626.54999,625.90002,972463,0.222724,625.89001,626.21997,468762,1,1,625.90002,,20151030,0.222724,0.074022,0.072627,0.052880,0.051521,0.082983
84788,20151130,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,58,1,625.31000,678.98999,664.79999,873058,0.062150,664.69000,665.28998,468762,1,1,664.79999,,20151130,0.062150,0.002449,0.000183,0.007340,0.005441,0.000505
84788,20151231,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20160119,,,,,1,6,59,1,640.15002,693.96997,675.89001,902288,0.016682,675.85999,675.94000,471000,1,1,675.89001,,20151231,0.016682,-0.022288,-0.024527,-0.035903,-0.039479,-0.017530
84788,20160129,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20160216,,,,,1,6,60,1,570.17999,636.98999,587.00000,1302119,-0.131516,585.35999,585.65002,470842,1,1,587.00000,,20160129,-0.131516,-0.057094,-0.058264,-0.074949,-0.076172,-0.050735
84788,20160229,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20160330,,,,,1,6,61,1,482.07001,574.81000,552.52002,1242930,-0.058739,552.51001,552.89001,470899,1,1,552.52002,,20160229,-0.058739,0.000687,-0.001735,0.005587,0.003658,-0.004128
84788,20160331,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20160419,,,,,1,6,61,1,552.08002,598.69000,593.64001,940262,0.074423,593.65997,593.90997,472000,1,1,593.64001,,20160331,0.074423,0.070517,0.068145,0.078180,0.075536,0.065991
84788,20160429,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454113,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20160629,,,,,1,6,62,1,586.14001,659.59003,659.59003,784958,0.111094,659.59003,659.62000,471828,1,1,659.59003,,20160429,0.111094,0.011817,0.010582,0.039878,0.038643,0.002699
